00:00:02.035	+	Wirklich? Du schon wieder? 
00:00:04.000	+	Gib sie mir zurück, Kobbler!
00:00:05.772	+	Ich werde dich zerreißen, wie eine zwanzig Jahre alte Steuererklärung!
00:00:08.108	-
00:00:10.909	+	Ach bitte Kobbler, du bist doch nur ein Papiertiger!
00:00:13.000	-
00:00:14.000	+	Die Macht gehört mir! Mir allein!
00:00:17.000	+	Die anderen Prinzessinnen werden so eifersüchtig sein!
00:00:19.000	+	Was? 
00:00:20.000	+	Häh? 
00:00:21.000	-
00:00:23.500	+	Sorry Bob, aber du kleiner Kerl hast keine Chance gegen einen so mächtigen Krieger wie mich! 
00:00:29.229	+	Warte… wo ist meine Sphäre? 
00:00:31.464	+	Meine Sphäre! Sie hat meine sie geklaut! Wo ist meine Sphäre?!
00:00:36.136	-
00:00:38.000	+	Ich bin eindeutig zu alt dafür.
