00:00:00.867	+	A partir de maintenant, les Royaumes infinis seront enfin miens !
00:00:07.807	+	Princeeeesssssssee !!!!! 
00:00:11.845	-
00:00:14.247	+	Princess, ne fait pas ça ! Tu n’as aucune idée de ce que tu fais !
00:00:16.583	-
00:00:18.651	+	Les autres princesses vont  être tellement  jalouses. 
00:00:21.187	-
00:00:22.589	+	Arrête ça maintenant Princesse, avant que quelqu’un ne soit blessé ! 
00:00:25.091	-
00:00:39.000	+	Tu….étais sensé me protéger.
00:00:43.543	+	Tu as brisé mon cœur en deux Princesse. Regarde qui est brisée en deux maintenant. 
00:00:47.013	-
00:00:49.883	+	Merci pour le coup de tête.
00:00:51.551	-
00:00:53.553	+	Enfin ! 
00:00:54.754	+	Ahh, c’est pas vrai !
00:00:56.500	-	
