00:00:00.800	+	Once I place this orb atop the Altarberry Pedestal, I will create infinite Kingdoms and Rule them all! 
00:00:06.673	+	Did you really have to go to the bathroom again!?
00:00:09.275	-
00:00:09.909	+	I'd stay out of there for at least 10 minutes if I were you.
00:00:13.747	-
00:00:16.216	+	Ugh! What did you eat!?
00:00:18.785	+	We gotta get going.
00:00:20.920	+	Ugh, my arm's gonna rot off.
00:00:22.489	+	I could have been a paperboy, but no, I had to be a hero…
00:00:27.200	+	Paperboy, so much easier.
