00:00:03.837	+	Macht's Spaß, König Kobbler?
00:00:08.208	+	Oh ja.
00:00:10.566	+	Wer hätte gedacht, dass es so viel Spaß machen würde einen gescheiterten Helden zu töten.
00:00:14.014	-
00:00:14.514	+	Noch bin ich nicht tot!
00:00:17.250	+	Wärst du aber, wenn du einen Hals zum Würgen hättest. 
00:00:19.333	+	Du hast aber nur einen Kopf! 
00:00:20.620	+	Ich hab nur einen Kopf? Du willst wohl eine Kopfnuss! 
00:00:24.257	-
00:00:26.000	+	Im Ernst Bob, das nennst du eine Rettung? 
00:00:28.828	+	Wer hat gesagt, ich sei deinetwegen hier, Prinzessin?
00:00:31.197	+	Ähm, jedes Märchen, das je geschrieben wurde? 
00:00:33.767	+	Was für ein schönes Wiedersehen.
00:00:36.202	-
00:00:38.672	+	Jetzt verpass ich dir eine!  
00:00:40.907	+	Neeeeeeeeeeeeeeeeeeein! 
00:00:45.345	-
00:00:49.683	+	Wie nennt man jemanden ohne Nacken, der auf dem Meer herumtreibt? 
00:00:54.120	+	BOB! 
00:00:56.322	-
00:01:00.727	+	Ich muss mich um wichtigere Dinge kümmern als dich! 
00:01:02.662	-
