00:00:00.100	+	Questa sfera mi fornirà mondi infiniti da dominare!
00:00:05.338	-
00:00:07.607	+	Una volta messa  in salvo, potrò finalmente ritirarmi!
00:00:10.677	+	è il momento di far apparire un bosco tra noi e te! L' eroe! 
00:00:15.115	+	Ma bravo! Quanti anni hai, nove?
00:00:17.417	-
00:00:18.251	+	Dai! Questi alberi sono completamente impenetrabili!
00:00:22.389	+	Forse dovresti pensare ad espanderti in un nuovo ramo, Bob.
00:00:26.493	+	Credi servirà a fermarlo?
00:00:28.228	+	Si, per un po'! 
00:00:29.863	-
