00:00:03.837	+	Se divertindo, Rei Kobbler?
00:00:08.208	+	Na verdade, sim.
00:00:10.566	+	Quem diria que matar um herói fracassado seria tão divertido?
00:00:14.014	-
00:00:14.514	+	Eu não morri ainda!
00:00:17.250	+	Você teria se tivesse um pescoço pra estrangular.
00:00:19.333	+	Aqui só tem cabeça!
00:00:20.620	+	Cabeça? Que tal cabeçada!
00:00:24.257	-
00:00:26.000	+	Sério Bob? Você chama isso de resgate?
00:00:28.828	+	Quem disse que eu vim aqui por você, Princesa?
00:00:31.197	+	Uh, todos os contos de fada medievais já escritos?
00:00:33.767	+	Que encontro adorável.
00:00:36.202	-
00:00:38.672	+	Posso oferecer um drinque?
00:00:40.907	+	Nãããoooo!
00:00:45.345	-
00:00:49.683	+	O quê é o quê é; um ponto sem pescoço boiando no oceano?!
00:00:54.120	+	BOB!
00:00:56.322	-
00:01:00.727	+	Eu tenho peixe maior que você pra fritar.
00:01:02.662	-
