00:00:02.035	+	Really? You again?
00:00:04.000	+	Hand her over Kobbler!
00:00:05.772	+	I'm gonna shred you like a 20 year old tax return!
00:00:08.108	-
00:00:10.909	+	Please Kobbler, you're nothing but a paper tiger!
00:00:13.000	-
00:00:14.000	+	The power is mine! All mine!
00:00:17.000	+	The other princesses will be so jealous!
00:00:19.000	+	What?
00:00:20.000	+	Huh?
00:00:21.000	-
00:00:23.500	+	Sorry Bob, but a little man like you stands no chance against a mighty warrior such as myself!
00:00:29.229	+	Wait... where's my orb?
00:00:31.464	+	My orb! She took my orb! Where's my orb!?
00:00:36.136	-
00:00:38.000	+	I'm getting too old for this.
