00:00:03.837	+	Ti stai divertendo Re Kobbler?
00:00:08.208	+	A dire il vero, si. 
00:00:10.566	+	Chi l'avrebbe mai detto che uccidere un odioso eroe sarebbe stato così divertente?
00:00:14.014	-
00:00:14.514	+	Ehy, non sono ancora morto!
00:00:17.250	+	Lo saresti se avessi un collo come si deve da strangolare.
00:00:19.333	+	Sei tutto testa!
00:00:20.620	+	Tutto testa? Forse volevi dire testata!
00:00:24.257	-
00:00:26.000	+	Seriamente Bob, lo definiresti un salvataggio?
00:00:28.828	+	Chi ha detto  che sia venuto qui per te Principessa?
00:00:31.197	+	Tutte le favole medievali che siano mai state scritte, forse?
00:00:33.767	+	Che bella riunione! 
00:00:36.202	-
00:00:38.672	+	Posso offrirti una pizza?
00:00:40.907	+	Noooooo!
00:00:45.345	-
00:00:49.683	+	Come chiameresti l'essere senza collo che galleggia nel bel mezzo del mare? 
00:00:54.120	+	BOB!
00:00:56.322	-
00:01:00.727	+	Ho pescato un pesce più grande di te da friggere!
00:01:02.662	-
