00:00:00.867	+	Deste dia em diante, os Reinos infinitos serão todos meus!
00:00:07.807	+	Priinceeesaaaaaaaa!!!!!
00:00:11.845	-
00:00:14.247	+	Princesa, não! Você não faz idéia do que está fazendo!
00:00:16.583	-
00:00:18.651	+	As outras princesas vão ficar com tanta inveja.
00:00:21.187	-
00:00:22.589	+	Entregue-a Princesa, antes que alguem se machuque!
00:00:25.091	-
00:00:39.000	+	Você.. devia ter me protegido...
00:00:43.543	+	Você rasgou meu coração em dois, Princesa. Agora, olha quem está rasgada.
00:00:47.013	-
00:00:49.883	+	Nada como um cabeça para tornar a vida mais fácil.
00:00:51.551	-
00:00:53.553	+	Finalmente! 
00:00:54.754	+	Oh, dá um tempo!!
00:00:56.500	-	
