00:00:03.837	+	Ну что, Король Кобблер, развлекаетесь?
00:00:08.208	+	Знаете, вообще то да,
00:00:10.566	+	даже не думал что уничтожить забытого героя это так весело!
00:00:14.014	-
00:00:14.514	+	А я ещё не помер!
00:00:17.250	+	Помер бы - была бы у тебя шея,
00:00:19.333	+	а то ты только башка!
00:00:20.620	+	Сам ты башка!
00:00:24.257	-
00:00:26.000	+	Боб это ты меня так спасаешь?
00:00:28.828	+	А с чего вы решили что я вас спасаю именно вас, принцесса?
00:00:31.197	+	Я что, сказок не читала?
00:00:33.767	+	Какое милое свидание!
00:00:36.202	-
00:00:38.672	+	Могу я чем нибудь помочь?
00:00:40.907	+	Неееееет!
00:00:45.345	-
00:00:49.683	+	Как тебе нравится быть главным без-шейным балваном моря?
00:00:54.120	+	А Боб?
00:00:56.322	-
00:01:00.727	+	А у меня улов тебя побольши будет!
00:01:02.662	-
