00:00:02.035	+	En serio? Tu de nuevo?
00:00:04.000	+	Kobbler, dame a la princesa!
00:00:05.772	+	Te voy a triturar como cebolla para la Paella!
00:00:08.108	-
00:00:10.909	+	Kobbler, Por favor, no eres mas que un tigre de papel! 
00:00:13.000	-
00:00:14.000	+	El poder es mío! TODO MIO! 
00:00:17.000	+	Las otras princesas estarán muy celosas!
00:00:19.000	+	Que?
00:00:20.000	+	Huh?
00:00:21.000	-
00:00:23.500	+	Lo siento Bob, un tío tan pequeño como tu no puede contra una bestia tan cachas como yo! 
00:00:29.229	+	Espera…donde esta mi orbe?
00:00:31.464	+	mi orbe! Ella tomo mi orbe! Donde esta mi orbe!?
00:00:36.136	-
00:00:38.000	+	Me estoy haciendo viejo para esto.  
